SCAF4	SFPQ	TIA1	THOC1	GPATCH1	LUC7L	UPF3A	U2AF1	SON	HNRNPA2B1	PTBP3	QKI	CCNT2
TCGA.06.1087	6.4471	10.3642	9.2471	9.9763	7.1664	7.7708	7.4191	10.8786	9.4352	12.1702	4.9742	7.7019	6.6929
TCGA.06.1801	4.6822	8.8265	8.0983	8.4907	6.6027	7.8029	7.1367	9.9253	9.1751	11.8959	4.5779	9.6979	5.9165
TCGA.06.1805	5.3974	9.1737	8.4059	9.015	6.2492	7.7754	6.7	9.5878	9.6731	11.5474	4.6036	9.836	6.2714
TCGA.06.2558	4.7222	8.2703	9.0781	8.4735	6.4357	7.638	6.8664	9.9529	8.8749	11.4773	4.5504	9.5369	6.7517
TCGA.06.2559	5.4829	9.0698	9.0007	8.773	6.8523	8.0424	7.0095	10.1484	9.2947	11.6615	4.395	9.6777	6.6574
TCGA.06.2570	5.1904	9.4389	9.3784	8.6615	6.8431	8.0412	8.0355	9.9616	9.7378	11.6859	4.3664	10.169	7.0314
TCGA.06.5416	4.3243	8.1077	6.9382	8.8406	6.1062	8.1144	7.4665	9.9625	8.7622	11.6789	4.5224	9.6089	5.4125
TCGA.06.5417	4.3643	8.6747	8.2627	8.5596	6.6307	7.6503	7.1208	9.5052	8.7116	11.7154	4.6927	10.041	6.3177
TCGA.06.6389	4.9914	8.2269	7.7053	8.2649	6.7429	6.9761	7.4323	9.5035	9.2691	11.8091	4.4468	10.3946	6.4721
TCGA.06.6391	4.9117	8.749	8.1199	7.9556	6.1693	7.1054	7.5187	9.552	9.0458	12.0631	4.418	10.1334	5.9933
TCGA.08.0245	4.8178	8.6983	8.9186	8.4398	5.9005	7.8438	6.6736	10.5209	9.5346	12.0999	4.5239	10.0412	5.9559
TCGA.08.0344	4.433	8.0787	7.2373	7.6001	5.5831	8.4102	6.9391	10.3448	9.5501	11.404	4.2841	9.9638	6.5068
TCGA.08.0345	4.1238	7.782	7.4857	7.7635	5.6141	6.7913	6.4634	9.8078	9.4453	11.7764	4.7187	9.6245	5.7309
TCGA.08.0347	4.52	7.5622	7.5633	7.7731	6.2381	7.0883	5.895	9.7541	9.3518	11.579	4.8819	9.9614	5.3797
TCGA.08.0348	4.6067	8.4507	7.8526	8.3713	6.4962	7.7747	7.009	10.0286	9.5601	12.0819	4.625	9.9361	6.0131
TCGA.08.0350	5.2487	8.6082	7.7194	7.7117	5.723	7.3201	7.2717	10.1431	9.5977	11.7672	4.0773	10.0559	5.2915
TCGA.08.0351	4.9314	7.9894	7.4162	7.8177	6.6665	7.5004	6.6486	9.7289	9.3804	11.0145	4.2181	9.4807	5.1963
TCGA.08.0353	4.3265	8.3868	8.1255	8.0423	6.0402	7.814	7.4996	10.5212	9.4668	11.9848	4.516	9.3665	5.6959
TCGA.08.0359	4.583	8.1063	7.5339	7.7292	6.2696	6.8603	6.0812	9.673	9.427	11.7217	4.2928	9.6939	5.5087
TCGA.08.0385	4.6535	7.8173	7.5603	7.7361	6.1046	7.4836	6.8787	10.1032	9.0359	11.1896	4.2228	10.143	5.5011
TCGA.08.0524	4.7101	8.8064	7.9971	8.5763	6.9045	8.5468	7.5436	10.4485	9.042	11.8584	4.1873	9.8186	5.8362
TCGA.12.0616	4.6469	8.5365	8.6618	8.4441	5.8073	7.751	6.664	9.8592	9.2074	11.6893	4.3365	9.9135	5.6779
TCGA.12.0618	4.9013	9.1358	8.4346	8.1952	6.2572	8.0385	7.3372	9.7692	9.5596	11.8882	4.7097	10.1893	6.9408
TCGA.12.1099	3.8924	8.9334	8.1143	8.3769	6.0601	7.0671	6.7893	9.2459	8.9044	11.4018	4.2563	9.55	5.5522
TCGA.12.1597	4.6803	7.9435	9.2443	7.9624	6.881	6.9791	6.3965	9.2716	8.5615	10.7963	4.398	9.3392	6.1684
TCGA.12.1602	4.5182	7.835	7.5187	7.956	7.1776	7.3062	5.9627	9.7307	8.889	11.3194	4.3125	9.218	5.3677
TCGA.12.3646	4.9576	8.5942	9.2299	8.6643	6.6416	7.1722	6.4731	10.0978	8.5006	11.3171	4.233	9.5419	6.1167
TCGA.12.3650	4.3881	8.479	9.3742	7.9296	6.3964	7.7849	6.7512	10.1293	8.4684	11.3887	4.3492	9.5038	6.5791
TCGA.14.0813	4.5789	9.235	7.2876	8.795	7.1644	6.964	7.126	9.8235	9.5112	11.0407	4.1633	9.1613	5.7922
TCGA.14.0865	5.2204	8.1123	9.297	9.1199	6.1631	7.8007	6.2894	10.0266	9.094	11.6726	4.8326	9.187	6.4389
TCGA.14.1401	4.8021	9.1251	8.257	8.4164	6.4537	7.884	6.4667	9.7629	9.248	11.5687	4.4513	9.5829	5.9633
TCGA.14.1451	4.2197	7.8439	8.4141	8.1782	6.1334	6.6402	5.6776	9.5742	9.1279	11.5966	4.2558	9.5975	5.7716
TCGA.14.1454	5.5306	9.8372	9.4576	9.2753	7.1144	8.2416	6.6223	10.4453	9.8433	12.2316	4.1986	9.842	6.6932
TCGA.14.1455	4.3819	8.2451	8.2462	8.4928	6.0624	7.5857	6.6707	9.8739	8.5452	11.7876	4.092	9.2952	6.0191
TCGA.14.1456	5.3242	8.185	8.2368	8.1404	6.243	7.296	6.4076	9.4943	9.4414	10.8668	4.2417	9.679	6.2465
TCGA.14.1458	4.8402	8.3284	7.6775	7.8535	6.2883	8.0177	6.963	9.5018	8.8883	10.8629	4.3193	8.8223	6.1487
TCGA.14.1794	5.3748	9.3474	8.1022	9.0381	6.6303	7.9563	7.003	10.0418	9.4307	11.8048	4.255	9.6854	6.1449
TCGA.14.1795	5.2851	9.0151	8.3423	8.5196	6.317	8.1327	6.7281	9.9624	9.229	11.6807	4.4354	9.3078	6.2307
TCGA.14.1821	5.7127	9.5865	9.3097	8.6014	7.4958	8.583	7.8377	10.3572	9.5291	11.8754	4.4363	10.1642	7.0963
TCGA.14.1825	4.5753	8.3569	8.1588	8.2435	5.8487	7.4791	6.3096	9.9921	9.0031	11.6437	4.1542	9.8445	6.4779
TCGA.14.3477	4.2617	9.0016	9.8225	7.7515	6.554	8.0936	6.1516	10.128	8.2667	11.4044	4.6999	9.659	6.8407
