SAP18	CLK4	SMG6	PPARGC1A	HNRNPA2B1	PTBP2	SFPQ	TIA1	THOC1	CCNT2
TCGA.06.0750	8.2551	8.0045	4.6459	6.05	10.9023	6.1024	8.6579	7.4866	8.4505	5.7435
TCGA.06.0878	8.252	7.7147	4.714	6.2426	11.3897	6.5545	9.0304	8.2068	8.634	6.0789
TCGA.06.0881	7.4584	6.8157	4.4896	4.9473	10.8921	5.9574	7.8031	6.755	8.2144	5.3714
TCGA.06.1084	6.4522	8.3228	4.1419	5.7407	10.0068	7.098	8.8901	8.8731	8.4502	5.7457
TCGA.06.1086	8.4174	8.3297	4.5231	6.1651	11.4497	7.3602	9.5804	9.4799	8.0291	6.7637
TCGA.06.1800	7.9462	7.1064	4.4515	4.5725	11.581	6.5531	8.399	8.0841	8.428	6.077
TCGA.06.1802	7.6511	6.9956	4.471	5.3078	11.5511	5.6849	7.8358	8.0192	8.0433	5.5433
TCGA.06.2557	8.5541	8.2959	4.4659	6.9123	11.6295	7.5566	9.2518	8.706	8.573	6.7287
TCGA.06.2561	8.5891	7.5593	4.4947	7.3886	11.1037	6.7743	8.2408	8.0501	8.3325	5.6211
TCGA.06.2562	8.6948	7.6062	4.7619	5.564	11.3199	6.7028	7.8508	8.2696	8.6548	6.0976
TCGA.06.2569	8.4366	7.5687	4.6034	5.7002	10.8861	7.4802	8.9804	10.4901	8.1999	6.4013
TCGA.06.5410	8.2564	6.7057	4.5763	5.5049	11.2088	6.5758	7.693	7.0819	7.9484	5.5979
TCGA.06.5412	7.3087	6.8311	4.4747	6.0561	11.2235	6.5162	7.8657	7.8196	7.6596	5.9121
TCGA.06.5418	8.4008	7.2107	4.8522	5.1763	11.2796	5.1281	7.5616	7.3463	8.9228	5.8288
TCGA.06.5858	7.5105	6.9824	4.6283	5.1882	11.687	7.1057	7.927	7.4597	8.1281	5.8334
TCGA.08.0346	8.2899	6.9682	4.5409	5.3838	11.3454	5.8032	7.5522	7.5434	7.4851	6.0086
TCGA.08.0352	8.629	7.7022	4.6528	6.1734	11.1359	5.7623	7.9729	7.5874	7.7393	5.9553
TCGA.08.0360	7.3892	8.217	4.6484	5.4983	11.2868	6.2217	8.2428	8.018	7.5737	6.1447
TCGA.08.0373	7.6869	7.3158	4.4007	5.3251	11.6173	6.2723	8.0952	7.3049	8.1756	5.9479
TCGA.08.0390	8.1868	7.0958	4.717	6.1767	10.7981	5.9137	7.3511	7.4752	8.1481	5.3924
TCGA.08.0392	7.5245	7.8652	4.4203	4.5398	10.7494	5.5135	7.7101	7.9824	8.3061	5.8467
TCGA.08.0509	8.2524	7.2771	4.9458	5.6839	11.2789	5.9339	8.0091	7.7307	8.4078	5.6392
TCGA.08.0510	8.8252	6.9033	5.0521	7.0059	11.1284	5.5617	6.9251	7.5596	7.7147	5.7455
TCGA.08.0512	7.474	7.5336	4.8277	5.1564	11.0968	5.9156	7.89	7.3953	8.1743	5.3819
TCGA.08.0522	8.1228	7.6951	4.3807	4.2487	11.3223	5.585	8.5084	7.4286	8.5985	5.7326
TCGA.12.0619	7.9547	7.6649	4.301	5.097	11.7098	6.4809	9.0029	8.6403	8.4378	6.0164
TCGA.12.0620	8.0973	6.6579	4.8061	5.4356	11.4938	4.4449	7.333	6.6058	7.571	5.587
TCGA.12.0654	8.3417	7.4849	4.8362	5.5576	11.0823	6.5423	8.3511	7.0054	8.5121	5.3535
TCGA.12.0772	7.711	7.9572	4.2001	5.5513	11.2247	6.2131	9.3244	7.4971	8.3776	5.747
TCGA.12.0775	8.371	7.9233	4.4377	5.8452	10.5946	5.3761	8.9033	6.8432	8.3888	5.1734
TCGA.12.0776	7.7241	7.7137	4.5764	5.5359	10.5266	5.6084	7.6058	7.5833	7.8199	5.5764
TCGA.12.0778	8.6272	8.7382	4.8928	7.1189	10.3821	6.3492	8.9776	7.3408	8.6414	6.0211
TCGA.12.0827	8.1646	8.097	4.718	6.2132	10.9291	6.613	8.6395	7.6773	7.9843	6.0046
TCGA.12.0829	8.1462	7.6933	4.6461	5.5505	10.7625	6.0518	9.0404	7.4007	8.5253	5.7936
TCGA.12.1088	7.7733	7.776	4.4446	5.6988	11.1502	7.1284	8.1041	8.3236	7.676	5.8543
TCGA.12.1090	7.4509	4.0229	4.7531	5.4247	11.3125	5.9011	8.1275	7.9283	8.4983	5.5641
TCGA.12.1092	8.0876	7.6865	4.5076	5.1742	11.3162	6.0118	7.5729	8.0777	8.3605	5.5194
TCGA.12.1093	7.3007	7.09	4.4583	5.9003	10.8319	5.6848	7.5624	7.8541	8.0916	5.6719
TCGA.12.1095	7.8973	8.0895	4.7288	6.5126	11.258	6.6211	8.9564	8.1191	8.3207	5.8229
TCGA.12.1096	7.7147	7.8728	4.7286	5.8124	11.3756	6.8374	8.4581	7.6003	7.9906	5.9838
TCGA.14.0736	7.7634	7.7537	4.5803	5.1614	11.2415	6.2852	7.9663	8.7083	8.3207	5.3385
TCGA.14.0781	7.5982	7.2966	4.7128	5.1926	11.2531	6.5107	8.0287	7.3595	8.0094	5.8165
TCGA.14.0783	7.7788	7.6917	4.2078	5.9118	11.0641	6.8286	8.2397	8.4174	7.7543	5.8384
TCGA.14.0789	8.8376	7.6265	4.6704	6.0678	11.1638	5.592	8.0042	7.3926	8.2251	5.7747
TCGA.14.0867	8.0369	6.7022	4.0891	5.4904	11.02	6.1522	8.4808	7.7525	8.1009	5.5191
TCGA.14.0871	7.8976	8.3248	4.4358	4.8163	11.5822	9.2811	9.802	9.5199	10.077	7.4413
TCGA.14.1034	7.6592	6.568	4.7623	6.3267	11.4104	5.4362	7.3618	7.1573	7.7194	5.7109
TCGA.14.1037	8.1457	6.8761	4.3879	5.5299	11.3827	5.8673	7.4319	7.3392	8.1824	5.7491
TCGA.14.1396	8.6485	8.0976	4.8709	5.79	11.0413	6.3656	7.9281	7.8956	8.3205	5.3624
TCGA.14.1452	7.9268	8.065	4.1384	6.3268	11.5027	6.2936	8.7318	8.1314	8.4427	5.9175
TCGA.14.1823	7.7707	7.4749	4.7018	5.7088	10.1304	4.4352	7.3841	7.732	8.3422	6.7968
TCGA.16.1045	8.1294	7.8829	4.1835	7.8878	10.9129	6.8355	8.1571	8.1323	8.2689	5.7524
TCGA.16.1060	8.272	7.658	4.6045	5.4238	11.3006	6.8124	8.8195	8.2554	8.6377	5.9206
TCGA.19.0962	9.3553	7.2407	4.4736	6.5434	11.1815	6.7333	8.4552	7.632	8.3758	6.007
TCGA.19.1385	7.9578	7.698	4.715	5.8699	11.336	5.7466	8.6206	7.5079	7.9211	5.7773
TCGA.19.1388	8.593	8.9128	4.4447	7.0123	11.7829	7.6005	9.8426	8.1316	8.667	6.5413
TCGA.19.1389	8.0594	7.686	4.6464	4.854	11.4383	5.6938	8.8801	7.5438	8.5682	5.9293
TCGA.19.1787	7.796	7.654	4.5257	8.528	11.3304	8.6995	8.9204	8.1731	9.2151	5.8009
TCGA.19.1790	7.8247	7.3934	4.3336	4.9147	10.6347	5.8062	8.1034	7.6567	7.7013	5.6235
TCGA.19.2623	8.3287	7.7472	4.1259	5.2661	11.4272	6.1302	7.8459	8.0334	7.2754	6.3014
TCGA.19.5947	7.5397	6.9696	4.9667	5.3032	11.6518	6.2594	8.0714	7.3145	8.234	5.2928
TCGA.19.5955	8.5855	7.2635	4.6733	6.6733	11.5259	7.1645	7.7498	7.0677	7.8887	5.7967
TCGA.26.1438	7.8335	7.2969	4.743	5.2703	11.3111	6.3841	7.9359	7.345	7.6184	5.4676
TCGA.26.5136	6.7575	7.0716	4.6349	5.7301	11.4707	4.8081	8.4901	6.0454	8.0623	5.2732
TCGA.26.5139	6.0625	6.3938	4.2546	4.283	11.2381	6.0487	8.8665	7.9099	8.0456	6.092
TCGA.27.1832	7.892	7.9751	4.9278	7.1129	11.6261	5.4465	8.1981	7.4903	8.2926	5.7812
TCGA.27.1838	8.5159	7.2072	4.858	7.331	11.5495	6.897	8.1464	8.0915	8.0836	5.7788
TCGA.27.2519	7.6568	7.2856	4.731	5.9154	11.2618	6.842	7.8462	7.828	8.199	5.8306
TCGA.27.2524	8.3734	7.3407	4.4779	5.4582	11.2629	6.369	7.9311	8.4308	8.4024	5.672
TCGA.27.2527	8.4798	6.6462	4.4456	6.2688	10.3647	6.3132	7.3618	7.5657	7.5575	5.7473
TCGA.28.1745	8.5479	8.073	4.7257	6.6299	11.1223	5.5721	7.39	6.732	7.4592	5.236
TCGA.28.1750	8.364	8.265	4.5191	6.0446	11.8245	6.2547	8.7954	8.3318	8.8187	6.426
TCGA.28.1751	8.1009	7.0712	4.7621	5.1322	11.3018	5.4154	8.3231	7.5594	8.2817	6.1351
TCGA.28.1753	8.3301	7.4037	4.3957	5.7098	11.7305	6.8704	9.2088	8.655	8.3635	6.3916
TCGA.28.2502	8.0414	7.5122	4.5254	5.4463	10.999	5.9258	7.3757	8.1492	8.0576	5.958
TCGA.28.2509	8.4511	7.5137	4.2587	5.1231	11.2931	6.7541	7.9965	7.7267	8.452	6.1028
TCGA.28.2513	8.7741	7.0681	4.4968	5.2204	11.0525	6.0013	7.3288	7.8601	7.995	5.5544
TCGA.28.5207	6.9649	7.9605	4.236	6.7894	11.0875	8.0758	8.1689	9.0152	7.9563	5.8754
TCGA.28.5208	5.7662	7.5913	4.2105	4.4196	11.3752	7.8036	8.7915	8.4586	7.5207	5.8128
TCGA.28.5209	5.6957	7.187	3.7273	4.3022	10.4563	6.5295	8.2838	9.3591	8.0712	5.9705
TCGA.28.5213	5.8674	7.4875	4.413	5.2757	10.1642	7.72	8.227	10.01	8.7488	6.3501
TCGA.28.5214	6.858	7.5828	4.2014	4.9551	11.4677	7.6467	8.9812	8.5595	8.5071	5.8391
TCGA.28.5215	6.8323	4.9709	4.321	4.2979	11.4445	5.651	8.9047	7.0836	7.3467	5.6542
TCGA.28.5216	8.6685	6.7012	4.0105	4.4014	11.606	5.0945	8.6124	8.0498	7.9466	6.1394
TCGA.28.5218	7.7799	6.7661	4.1467	5.4631	11.9924	6.0931	8.7224	8.3688	8.2359	6.5176
TCGA.32.1986	8.1755	7.7808	4.9061	6.1471	11.1378	6.6902	8.5441	8.0467	8.4018	5.7102
TCGA.32.1987	7.7265	7.5714	4.394	5.5287	11.5071	5.8916	8.3295	8.2462	7.9158	5.8963
TCGA.32.2491	7.072	7.6428	4.5782	5.7638	11.8321	6.9896	8.4775	7.575	7.5875	6.0891
TCGA.32.2494	8.0056	7.4286	4.5524	5.7645	11.4012	6.7135	8.1248	8.1314	8.1159	6.1296
TCGA.32.2615	8.5313	8.2687	4.6766	6.3977	11.1739	7.407	8.9434	8.2125	8.7803	6.1702
TCGA.32.2616	8.1387	7.3573	4.3164	6.7498	11.4602	7.1052	8.179	8.1052	8.2318	6.0319
TCGA.32.2632	8.8132	7.0605	4.4412	6.3271	11.5425	6.4422	7.4444	8.085	7.9104	5.3484
TCGA.32.4209	7.6286	7.0853	4.2956	6.2357	10.8415	5.9996	7.6152	8.1398	7.5669	5.7476
TCGA.32.4213	8.0617	7.0502	4.3736	5.5348	11.0553	6.7972	8.0504	8.3526	7.4139	5.7368
TCGA.41.3393	8.5859	7.8238	4.4869	6.8213	11.6359	6.5623	8.6157	8.1145	8.19	6.0959
TCGA.41.3915	7.6078	7.7096	4.5752	5.1891	11.2346	6.8455	8.1119	8.1667	8.61	5.9228
TCGA.41.4097	7.5467	7.6401	4.7405	7.7368	11.0926	6.6291	7.9518	7.912	8.1349	5.7596
TCGA.76.6193	8.0101	7.0778	4.4809	5.6796	11.3328	6.9821	8.0712	7.1445	8.2586	5.8408
TCGA.76.6282	7.784	7.472	5.2772	7.629	11.436	6.2368	7.9075	7.0996	8.1979	5.632
