MES_83	MES_326	MES_1123	PRO_19	PRO_157	PRO_528
ENSG00000000003.14	827.900831105309	1040.21897337325	892.582638984003	1065.65792056639	781.15882325105	1157.24687444486
ENSG00000000005.5	1	1	1	1	1	1
ENSG00000000419.12	2324.7213198171	2852.29399878913	2537.67095958723	1242.664929473	1351.19755106464	1883.81470497837
ENSG00000000457.13	570.931649008496	659.844650109448	616.428724254444	438.721765867589	515.743965856363	470.624080656875
ENSG00000000460.16	1222.85346506734	1862.51359793558	1986.34939410929	598.289660596212	519.765403089616	969.397242182108
ENSG00000000938.12	1	1	1.98626398117699	1.87195570889958	1	2.07959558771695
ENSG00000000971.15	154.981533240892	51.447522979284	96.6676061741684	7.10368996229706	7.03215584987925	1
ENSG00000001036.13	2608.68726423536	3503.06704522189	2316.74782780358	1389.15348856813	1005.3539490049	768.592462866755
ENSG00000001084.10	3844.53905050642	4932.7498464548	4196.56697592693	750.881909653639	996.305715230077	2044.67444754819
ENSG00000001167.14	3096.62874619352	3578.73832969082	2119.49503156818	1611.50219433752	1960.44529190244	1938.87407995193
ENSG00000001460.17	527.936805311364	599.307622534308	757.464473562755	15.8232470512929	15.0750303163849	328.117463078237
ENSG00000001461.16	1057.87325088067	1018.02206326236	967.538701553454	796.223606516417	897.780503015382	1067.64044066435
ENSG00000001497.16	7476.10352278512	5804.48304353683	7768.81511575001	1551.33725042345	1691.0089972745	2824.14246187984
ENSG00000001561.6	1	1	1	1	3.01071861662642	2441.96562382803
ENSG00000001617.11	196.976496852044	75.6623340093403	141.049485327133	8.84760138009622	16.0803896246981	5.31838235086782
ENSG00000001626.14	1	1	1.98626398117699	1	1	1
ENSG00000001629.9	2305.72359818348	2671.69186652329	2228.97033347883	4604.05418728088	6078.39701875335	3634.91874825527
ENSG00000001630.15	423.949276369463	86.7607890647827	125.269261628301	25.4147598491882	48.2518874907208	34.4674632192256
ENSG00000001631.15	1372.83547796431	1715.20683083607	1670.74492013265	2755.50808441377	4005.34612501151	3249.50312344032
ENSG00000002016.17	500.940042989909	517.582635307868	680.535883030949	464.008481425677	764.067715009726	484.658823297196
ENSG00000002079.13	35.9958030092936	9.07160367668543	21.7115436047169	1	3.01071861662642	1
ENSG00000002330.13	547.93440703096	186.646884563765	230.79950761424	183.238743160012	117.621679764332	96.004411719092
ENSG00000002549.12	2740.6714355847	2959.24274750521	2014.95104956342	1361.25090588335	1238.59730853356	2043.59485196048
ENSG00000002586.18	4.99952034391927	5.03580183834272	6.91758388706196	2.74391141779916	4.01607792493963	2.07959558771695
ENSG00000002587.9	1	1	1	1	1	1
ENSG00000002726.20	1.99988008597982	1	1.98626398117699	1.87195570889958	2.00535930831321	1
ENSG00000002745.12	1	1	1	1	1	2.07959558771695
ENSG00000002746.14	26.9968822354753	26.223761489642	55.2445189647347	7.97564567119664	12.0589523914453	16.1143382280374
ENSG00000002822.15	539.935366343122	307.720939714046	437.914943661408	831.9737905813	391.079411625525	278.456066043257
ENSG00000002834.17	3861.53701196808	3514.16550027733	3546.61901233129	5093.22133997355	3379.00727593238	1164.80404355888
ENSG00000002919.14	241.971100721136	265.345020411448	231.785771595417	866.852018937283	492.620701765159	530.001837981308
ENSG00000002933.7	1	1	1	35.8782283559832	49.257246799034	1
ENSG00000003056.7	1938.76760662889	2660.59341146785	2126.39887943642	2680.51989344841	2412.85698064339	2905.11213095861
ENSG00000003096.14	1.99988008597982	2.00895045958568	7.90384786823896	474.471949932472	606.226303604552	1170.20202149746
ENSG00000003137.8	225.973019345459	105.930847796911	417.203400056692	5.3597785444979	4.01607792493963	19.3531249911882
ENSG00000003147.17	698.916300013913	903.001710869597	952.744741835799	110.866419321347	247.313030536736	344.311396893992
ENSG00000003249.13	263.968462612692	103.912946877739	294.906666390744	710.771947044258	594.161991904793	504.091543876101
ENSG00000003393.14	1393.83295976989	2082.46479812526	1903.50321969042	1373.45828580794	1422.57806195488	1607.43823452283
ENSG00000003400.14	2.99976017195964	2.00895045958568	3.95879194353098	7.10368996229706	2.00535930831321	3.15919117543391
ENSG00000003402.19	1233.85214601312	1600.1864784433	1385.7146295725	1757.99075343265	1903.13981132859	1240.37573469906
ENSG00000003436.15	528.936685397344	1806.01237219878	456.653959303771	4401.76046281618	6643.40895002537	44.1838235086782
ENSG00000003509.15	750.910064484863	848.51838605197	883.70626315341	497.142798363861	662.526424870092	699.49834525287
ENSG00000003756.16	3227.61303745687	3105.54056414513	2649.11878946023	5343.47262842773	7619.6128383975	4096.98565979813
ENSG00000003987.13	100.988008597982	192.700587321279	191.34894836716	1	1	331.356249841388
ENSG00000003989.17	496.94052264599	1008.94150912609	958.662325722861	589.570103507217	1012.39146416309	1660.33841832096
ENSG00000004059.10	1551.8140133547	974.63719350018	1109.56071484294	2259.36528604991	1502.00144731162	1116.22224211161
ENSG00000004139.13	26.9968822354753	20.1700587321279	56.2307829459117	1545.23356046116	1070.70230404525	485.738418884913
ENSG00000004142.11	2555.69361967843	2490.08078379787	2697.4457245379	3510.62172832081	1881.0219065457	2288.66305037223
ENSG00000004399.12	1583.81017610605	965.556639363909	1159.86017788297	1080.48116761768	947.04310912273	156.461764631241
ENSG00000004455.16	5834.30042160626	7293.69392188529	5745.00142637481	3112.1379693537	3600.18632376129	3844.36029227236
ENSG00000004468.12	3.99964025793945	8.06265321709975	1.98626398117699	3.61586712669874	3.01071861662642	2.07959558771695
ENSG00000004478.7	3343.59912743053	3944.98734652042	3361.20138387002	3731.2265226724	2550.5912058823	6281.00753374952
