id	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000105171.9	POP4	1910.53575302759	2.5582405824808	0.296745219075935	8.62100016454238	6.63718147592846e-18	3.06484828565405e-16
ENSG00000185272.13	RBM11	125.538504440323	9.6349868792471	1.19876740564052	8.03741145606058	9.17561562500167e-16	3.2582146496248e-14
ENSG00000013364.18	MVP	968.508831341762	4.60774197459042	0.579075415824468	7.95706716029393	1.76165100814189e-15	6.02667254950005e-14
ENSG00000070756.15	PABPC1	32177.67616486	2.38020645192858	0.324910359093486	7.32573273000424	2.37596902751871e-13	6.3327193486431e-12
ENSG00000076650.6	GPATCH1	953.11306661185	1.97101895452726	0.272252161708547	7.23968155902943	4.49739450084322e-13	1.15613433434048e-11
ENSG00000164609.9	SLU7	3316.70589454093	1.47345076445053	0.317114366061433	4.64643334438239	3.37723187841915e-06	3.21833706222856e-05
ENSG00000121486.11	TRMT1L	1511.2580056761	1.3881325002839	0.329154934647992	4.21726170311988	2.47286923138019e-05	0.000196419751516016
ENSG00000140829.11	DHX38	2851.89170771165	1.46184297499496	0.351446849584981	4.15949944272151	3.18945799099699e-05	0.000246480083450256
ENSG00000144048.10	DUSP11	798.363469262634	1.16773745464462	0.294171316642695	3.96958298984318	7.19985273255143e-05	0.000506676371978423
ENSG00000119314.15	PTBP3	3778.62338667562	1.15709555300379	0.300808467623185	3.84661895373654	0.000119759000407906	0.000790828033380198
ENSG00000115128.6	SF3B6	4582.77642620282	1.29969868296716	0.428749254683902	3.03137246016992	0.00243444743011769	0.0108443567341606
ENSG00000076924.11	XAB2	760.011617322031	1.30196734908095	0.45090391819123	2.88746071292461	0.00388365103006483	0.0159862245812023
ENSG00000079134.11	THOC1	2459.80268456507	1.00660396499323	0.358205035665411	2.81013348436974	0.00495209565579134	0.0196420874350069
ENSG00000178607.15	ERN1	354.100000822333	1.04968284981164	0.382522051313443	2.7441106890633	0.00606750753168774	0.023312275984615
ENSG00000131652.13	THOC6	422.374942527921	1.16958691312902	0.451758233771505	2.58896645527568	0.0096264471431655	0.0339520236974572
