MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
ENSG00000116652.6	4.92727827891755	5.1802081908625	5.32349056222549	6.09303164942135	6.60717002486367	6.23258219140797
ENSG00000116883.8	3.05964058302648	3.06987815886223	1.83323970422384	5.44949088557321	5.60444927312157	5.21028240620244
ENSG00000117242.7	6.56017907296775	6.68267572883636	7.0122717041115	8.13413004701241	7.56714616446665	7.38907552169896
ENSG00000125804.13	0.886585991674102	0.892145545091174	0.183377614941426	2.47343438117208	3.37264008996097	2.11751390946082
ENSG00000128254.12	0.215014812063838	0.87415517778836	0.861250164643356	2.88178822381974	1.79418176185956	2.58528445066966
ENSG00000130600.17	5.25448038011906	3.42566474459536	4.7481150587009	10.6008359452873	10.684037321659	4.91892986825977
ENSG00000132204.13	8.73348582041842	9.04097905115297	9.17962051547466	0.377206106979306	1.26255695985642	0.590426074665679
ENSG00000163597.14	11.5370629902131	11.5623541451404	11.7292649211785	10.1862456586548	10.3381205358591	11.0395035662898
ENSG00000165511.6	6.60199172420491	7.0157052625666	6.92071725468444	3.07685289093568	5.81935856746506	4.4527173885838
ENSG00000167912.5	1.17287694093821	2.62179590674462	2.05204811644447	5.9516058708037	4.73612343986638	8.14186999855534
ENSG00000170919.15	6.05603122866297	6.1922083636328	6.62575937485826	8.42429670009289	9.09973094297397	9.30939088720404
ENSG00000174365.19	6.83316363932377	6.36765481413103	6.93897052409977	8.14648055642077	7.40000285162286	7.65418133430346
ENSG00000175772.10	5.77141109797241	5.19553505016019	5.61157596636026	-0.0803516329401606	0.03390232501987	0.0907161992179191
ENSG00000177335.10	-0.133142083790302	-0.127028723228212	-0.142428976128044	4.01785158290757	3.35356306480865	5.34435588384581
ENSG00000177822.7	0.155953125540718	0.164104378986146	0.143568092771305	6.20216482498641	6.6840894043342	7.51735737095475
ENSG00000179141.9	3.35422894834976	4.24673441138088	4.33992875282887	1.70155596653987	0.168451139857593	0.211087315633711
ENSG00000182648.11	8.46724958354578	8.12273340964586	8.61777490398897	5.60776822946884	5.32671163807348	2.15792533345788
ENSG00000182912.6	5.4223202219809	5.34056657156948	6.08823012346748	-0.0789645276871234	0.0368192674088772	0.0943839112047247
ENSG00000183242.11	4.1523669338457	4.54301821928451	5.0143356836203	0.390452218780101	2.7601271452997	2.64718668719547
ENSG00000188185.11	6.80005892650904	6.69565045010268	6.73163098885023	8.34046730759669	8.52961702014705	8.25322764620524
ENSG00000188825.13	7.20055702271251	7.39965327187613	7.90813753654242	3.94185800681843	4.20142231191736	3.30392867970341
ENSG00000189149.11	3.59496594181775	3.88083019987452	4.39215119800012	1.95115850218163	2.87238753432445	1.36576992054172
ENSG00000189229.10	2.66387501725786	2.67281219099384	2.55369843551735	-0.0931100511511842	-0.0450613050966626	-0.0205017704554653
ENSG00000196167.9	-0.184342473451803	-0.182144148374613	-0.18766828555176	1.11393319118585	2.18219445465253	2.34937014511459
ENSG00000196295.11	7.90367915580284	8.05286650537962	8.29255869162384	10.5665463452151	11.1673669585325	10.2889657001914
ENSG00000196951.10	6.20232851390767	6.4968270125553	6.52012841982516	4.1421370178837	5.58050071092847	5.33399163799473
ENSG00000197291.8	-0.0572031458435194	-0.0492441376404011	-0.0692981514478093	7.14171083063562	7.71114691188314	2.91999020320725
ENSG00000197813.5	4.08317282314527	4.17235230539766	4.21799065005236	6.74542491188763	6.88241770432272	4.75476456529099
ENSG00000197934.8	2.40368079121717	3.16706366896361	4.08551564334612	-0.226920663288828	-0.15562867522772	-0.11979466052131
ENSG00000197989.13	8.95548024134798	9.00338103896526	8.85698760416362	7.51291820627529	7.3627022193477	8.43460333637748
ENSG00000198221.8	5.05530384579886	5.10831196794703	5.7884163128689	6.59731938101187	7.90395937553593	7.04748473095469
ENSG00000203279.3	4.65225863455378	4.06752586150292	5.03560710104645	3.24623800885836	3.40266181470195	1.45803597827965
ENSG00000203497.2	5.28198937428185	4.82173815684385	4.41017546231611	5.96682955165184	6.21365500527367	6.36730614159542
ENSG00000203688.4	0.574148543476041	-0.290664551198367	-0.300842938414304	0.962875582492932	2.10308849114153	4.02115414740731
ENSG00000203706.8	6.16137757770855	3.02962119727322	5.58309160442298	2.53203032701185	1.04606383253721	0.256062971807541
ENSG00000203711.11	3.80492957442973	3.70069454023332	3.89388132084518	0.0168324010600607	0.0956491239829691	0.975642136612246
ENSG00000203897.3	-0.133228802769852	-0.130067598942085	-0.138018853460973	2.88613589019722	2.89125748988052	1.72279606583033
ENSG00000204055.4	2.23894591614659	0.182091712060497	2.22357850353831	5.05563452272538	6.57390363158444	2.32499748411492
ENSG00000204446.4	-0.0504483887981093	-0.0462392683756174	-0.0568333765188431	3.44247030072433	3.36221681862026	2.96128992395241
ENSG00000204588.5	7.62771626833304	7.52509992489592	7.87745682795904	1.05887588212427	1.21361952410657	1.2909611945704
ENSG00000204666.3	5.7308553809842	5.41979806818249	5.17954474312789	3.38895185517821	3.32445597894823	0.629992069847586
ENSG00000204706.14	2.23986982202094	2.96632733882057	3.93262340828331	6.57309511571848	7.20150726329742	6.24309222966874
ENSG00000204758.7	6.14066892204815	6.152232661247	6.58780761535139	3.20564774865501	2.19494918077393	2.27501282046669
ENSG00000204792.2	3.76017468710594	2.41414813611875	3.53750377876055	-0.188250852758082	-0.11871517070562	-0.0837133607742757
ENSG00000204860.4	7.9396070967307	7.9984879768644	7.77026857606986	0.178970178728882	0.315331650127134	0.383169620400518
ENSG00000204929.12	0.760332618433364	-0.0534260809979306	0.75051863020493	3.87323436388687	3.35610441345251	0.815504521857429
ENSG00000204934.10	5.72387378530155	6.34411660056922	6.6242423350322	9.2003721867611	8.7610936366337	7.86568976711889
ENSG00000205041.1	3.77540198024277	3.57136463244463	3.85417059515368	6.65752444296537	6.7427325862057	4.42588391815755
ENSG00000205562.2	0.859268222720452	1.89975769334574	2.47920284149567	-0.301221393082906	-0.266860010295515	-0.2491309121733
ENSG00000205791.3	4.26670043914438	4.34659411980864	5.09918853892527	6.18440812393621	6.49831984410994	5.41511682239781
ENSG00000206344.7	7.77560421331819	7.38176506696405	7.79643137161946	5.29510450792341	6.8710721452498	5.69285165052179
ENSG00000212694.8	7.4744895948461	6.88709844790306	7.09471655369738	8.16854930256379	8.07496476585845	8.68206922644061
ENSG00000213904.8	6.1904550725439	6.40176342152627	6.52062451098856	4.90770713381522	5.45708438259339	4.24448320190354
ENSG00000214145.6	3.63480253168317	2.92750618170176	4.8399715956144	0.817995805448014	0.0935922531881856	0.991663100303788
ENSG00000214432.9	4.78373990253856	4.32014385843306	4.87048900991558	2.34745432783293	3.0473715622012	3.12358562395937
ENSG00000214548.14	2.56642780045305	0.819848682094623	2.26810259384647	11.38220005306	12.621097267119	6.46728630444148
ENSG00000214922.9	7.6098548710617	7.48252243351041	7.04723099249325	5.40633834315445	5.92232390563288	6.43742761256149
ENSG00000214999.3	6.59289940625795	5.69748773246987	6.04472460787784	0.235521321370417	0.36042011887593	3.70711712934124
ENSG00000215039.6	7.14370463690062	6.99671466024287	7.97094420102916	9.03184583741461	9.68331267817288	8.76599263141403
ENSG00000215068.7	5.09751403738445	4.14433920896058	5.08038550761029	5.6763504565219	5.97732538765773	6.70882301391193
ENSG00000215196.4	1.52934702878134	1.12707319398694	2.23243105643359	-0.240204899452295	-0.211712662442327	-0.196898814580127
ENSG00000215241.3	-0.0869418724982307	-0.0837043697892634	0.667583591863623	1.33522696058127	3.36252382737585	2.42457118233148
ENSG00000215386.11	4.25809676419213	5.14576068134962	4.3157177071298	8.64261867996205	8.40904536844419	7.4842849615077
ENSG00000215452.4	-0.135899666003406	-0.134035566587125	-0.138717895694736	1.62935291668727	2.21125900795923	1.46277614109524
ENSG00000215483.9	0.903769307476677	1.38494225670116	0.893792242620953	2.23339587500186	1.71866876489767	4.4366093144198
ENSG00000215808.2	8.07905103385809	7.84233468969951	8.37245711904052	0.256234377076919	1.1750697061783	0.463289187458151
ENSG00000216895.9	5.38495632949723	5.14671957522844	5.93835835824079	6.88958019196618	7.27561438394806	6.35477758303767
ENSG00000222033.1	2.33188395871316	2.34034147440893	2.20612214174219	-0.0927916394559241	-0.0537415470239746	-0.033617288844412
ENSG00000223382.4	2.3757149322053	2.3846382783319	2.10223302170426	4.46257310350193	4.85882109813424	3.38958208283397
ENSG00000223396.2	6.98324708897465	6.65003076008764	6.64357035886676	3.30815634183132	3.02290753534641	4.81385938417802
