ID	GeneID	MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
2398	ENSG00000163584.17	0.896	0.763	0.728	0.063	0.116	0.389
2963	ENSG00000117616.17	0.764	0.846	0.893	0.977	0.984	0.979
5071	ENSG00000070087.13	0.578	0.653	0.688	0.192	0.207	0.343
6107	ENSG00000156504.16	0.76	0.814	0.637	0.979	0.98	0.985
8174	ENSG00000112531.16	0.154	0.196	0.18	0.779	0.817	0.652
8740	ENSG00000109046.14	0.791	0.722	0.825	0.946	0.991	0.915
1008	ENSG00000234741.7	0.725	0.748	0.767	0.262	0.305	0.243
1167	ENSG00000113810.15	0.239	0.143	0.178	0.041	0.041	0.134
1336	ENSG00000206503.12	0.03	0.021	0.017	0.557	0.549	0.547
1882	ENSG00000139116.18	0.025	0.026	0.007	0.583	0.5	0.298
1937	ENSG00000117616.17	0.697	0.706	0.807	0.939	0.964	0.962
2111	ENSG00000109184.14	0.535	0.494	0.492	0.131	0.251	0.219
215	ENSG00000101361.16	0.379	0.368	0.34	0.623	0.563	0.68
2465	ENSG00000140474.12	1	1	1	0.538	0.467	0
2734	ENSG00000095564.13	0.873	0.858	0.865	0.557	0.634	0.632
2779	ENSG00000164039.14	0.035	0.074	0.107	0.235	0.331	0.373
35	ENSG00000173171.14	0.266	0.382	0.42	0.912	0.956	1
3845	ENSG00000121716.20	0.483	0.529	0.535	0.977	0.811	0.949
4344	ENSG00000121897.14	0.055	0.076	0.059	0.308	0.288	0.284
4618	ENSG00000183291.15	0.656	0.705	0.784	0.955	0.978	0.905
481	ENSG00000137817.16	0.3	0.286	0.443	0.054	0.051	0.086
5310	ENSG00000138688.15	0.549	0.653	0.487	0.035	0.01	0.015
5528	ENSG00000168653.10	0.015	0.016	0.011	0.392	0.414	0.518
5684	ENSG00000265681.7	1	1	1	0.688	0.812	0.687
603	ENSG00000221838.9	0.039	0.026	0.06	0.32	0.327	0.286
817	ENSG00000001497.16	0.043	0.048	0.05	0.284	0.4	0.199
872	ENSG00000125676.19	0.321	0.311	0.36	0.1	0.132	0.067
911	ENSG00000132676.15	0.084	0.086	0.083	0.284	0.211	0.314
2516	ENSG00000070882.12	0.079	0.046	0.127	0.599	0.546	0.737
2884	ENSG00000182196.13	0.105	0.154	0.208	0.488	0.489	0.398
5787	ENSG00000089091.16	0.298	0.22	0.108	1	1	1
4404	ENSG00000170271.10	1	1	1	0.038	0.028	0.027
588	ENSG00000198721.12	0.975	0.978	0.965	0.678	0.593	0.667
7129	ENSG00000166582.9	0.264	0.256	0.242	1	1	0.789
5136	ENSG00000140365.15	0.349	0.461	0.448	0.808	0.713	0.836
657	ENSG00000089053.12	0.86	0.866	0.809	0.613	0.654	0.673
2045	ENSG00000132424.14	0.542	0.623	0.859	0.98	0.966	0.944
5771	ENSG00000166012.16	0.825	0.861	0.894	0.979	1	0.981
716	ENSG00000008128.22	0.961	0.837	0.904	0.575	0.572	0.681
8016	ENSG00000173559.12	0.4	0.476	0.468	1	1	1
2212	ENSG00000153391.15	1	1	1	0.482	0.224	0.256
2882	ENSG00000182196.13	0.093	0.065	0.138	0.289	0.432	0.336
7163	ENSG00000102858.12	0.056	0.15	0.275	0.74	0.704	0.815
8167	ENSG00000065883.14	0.154	0.164	0.126	0.527	0.422	0.372
4899	ENSG00000163374.19	0.907	0.851	0.784	0.427	0.621	0.582
4885	ENSG00000197603.13	0.308	0.61	0.249	1	1	1
5427	ENSG00000010361.13	1	1	1	0.162	0.39	0.031
8175	ENSG00000112531.16	0.784	0.829	1	0.296	0.298	0.385
5759	ENSG00000180822.11	1	1	1	0.597	0.241	0.135
426	ENSG00000198561.13	0.43	0.283	0.334	0.1	0.075	0.018
7707	ENSG00000217930.7	0.137	0.383	0.183	0.789	0.789	0.713
5685	ENSG00000076864.19	0	0	0.008	0.092	0.169	0.098
1389	ENSG00000205352.10	0.669	0.842	0.783	1	1	0.962
2051	ENSG00000166845.13	0.422	0.43	0.402	0.922	0.963	0.72
58	ENSG00000169247.11	0.297	0.137	0.24	0.874	1	1
5501	ENSG00000129484.13	0.019	0.007	0.012	0.424	0.501	0.011
1148	ENSG00000128739.21	0.929	0.907	0.907	0.435	0.53	0.602
3298	ENSG00000157800.17	0.548	0.543	0.557	0.242	0.378	0.208
4554	ENSG00000155363.18	0.619	0.578	0.468	0.209	0.276	0.275
4712	ENSG00000011275.18	0.297	0.282	0.3	0.088	0.162	0.138
5038	ENSG00000088833.17	0.309	0.252	0.365	0.035	0.055	0.087
1395	ENSG00000102125.15	0.423	0.31	0.43	0.742	0.9	0.843
7751	ENSG00000104129.9	0.174	0.168	0.092	0.014	0.017	0.085
4364	ENSG00000182473.21	1	1	1	0.092	0.765	0.254
754	ENSG00000169714.16	0.713	0.634	0.645	0.444	0.511	0.344
8213	ENSG00000147180.16	0.776	0.719	0.597	0.975	1	0.931
3309	ENSG00000163931.15	0.332	0.666	0.499	1	1	1
1925	ENSG00000126226.21	0.344	0.439	0.459	0.74	0.749	0.699
144	ENSG00000061936.9	0.963	0.98	0.949	0.877	0.828	0.697
3195	ENSG00000006015.17	0.44	0.694	0.63	1	1	1
5639	ENSG00000116001.15	0.498	0.427	0.435	0.238	0.31	0.238
2820	ENSG00000071054.16	0.07	0.099	0.145	0.221	0.188	0.211
1666	ENSG00000111961.17	0.216	0.108	0.07	0.02	0.054	0.014
2085	ENSG00000135597.18	0.193	0.189	0.304	0.03	0.078	0.139
5239	ENSG00000203875.10	0.928	0.951	0.953	0.787	0.72	0.908
5487	ENSG00000046647.13	0.479	0.515	0.331	0.077	0.128	0.139
74	ENSG00000127564.16	0.513	0.399	0.537	0.855	0.952	0.8
2767	ENSG00000158201.9	0.707	0.537	0.496	0.143	0.226	0.208
136	ENSG00000267228.7	0.105	0.045	0.044	0.35	0.21	0.37
4380	ENSG00000168661.14	1	0.311	0.546	0	0	0
589	ENSG00000198721.12	0.675	0.588	0.529	0.391	0.387	0.26
1903	ENSG00000146540.14	0.654	0.584	0.783	0.887	1	1
3605	ENSG00000163110.14	0.97	0.975	0.979	0.409	0.308	0.922
3705	ENSG00000167280.16	0.557	0.51	0.491	0.056	0.015	0.392
396	ENSG00000102103.15	0.079	0.22	0.134	1	1	0.194
5429	ENSG00000010361.13	1	1	1	0.472	0.794	0.209
4891	ENSG00000108465.14	0.213	0.296	0.178	0.085	0.107	0.101
4455	ENSG00000198931.10	0.851	0.864	0.867	0.628	0.675	0.778
2127	ENSG00000198000.11	0.066	0.01	0.065	0.182	0.245	0.242
3973	ENSG00000102710.19	0.374	0.5	0.49	0.893	0.891	0.659
420	ENSG00000168958.19	0.15	0.068	0.137	0.656	0.512	0.488
4930	ENSG00000163946.13	0.735	0.883	0.917	1	1	1
3641	ENSG00000185163.9	0.056	0	0.022	0.293	0.424	0.595
8157	ENSG00000142102.15	0.385	0.333	0.833	0	0	0
3464	ENSG00000204084.12	0.023	0	0.021	0.306	0.08	0.176
602	ENSG00000221838.9	0.258	0.137	0.421	0.86	0.82	0.891
1511	ENSG00000135424.15	0.658	0.618	0.764	0.112	0.257	0.133
5543	ENSG00000111231.8	1	1	0.884	0.541	0.37	0.306
4931	ENSG00000163946.13	0.62	0.606	0.568	0.772	0.846	0.848
90	ENSG00000182796.13	1	1	1	0.751	0.644	0.444
3789	ENSG00000129292.20	0.119	0.174	0.107	0.328	0.3	0.271
2857	ENSG00000008838.19	0.198	0.109	0.402	0.041	0.039	0.049
4191	ENSG00000196628.15	1	1	1	0.578	0.559	0.57
2893	ENSG00000204271.12	0.331	0.464	0.198	0	0	0.028
663	ENSG00000167380.16	0.598	0.606	0.598	0.311	0.335	0.331
7457	ENSG00000138867.16	0.011	0.068	0	0.108	0.143	0.179
2749	ENSG00000123219.12	1	1	0.962	0.853	0.817	0.842
6841	ENSG00000150760.12	0.062	0.093	0.104	0.267	0.225	0.349
3515	ENSG00000173681.16	1	1	1	0.401	0.728	0.662
2393	ENSG00000204536.13	0.321	0.496	0.825	0	0.149	0
1997	ENSG00000121073.13	0.763	0.732	0.855	0.59	0.56	0.595
4421	ENSG00000166260.10	0.984	0.964	0.98	0.8	0.862	0.924
156	ENSG00000137822.12	0.042	0.026	0.085	0.29	0.298	0.125
6817	ENSG00000137074.18	0.37	0.501	0.48	0.654	0.863	0.809
8656	ENSG00000139624.12	1	1	1	0.58	0.673	0.779
5315	ENSG00000183569.17	1	1	1	0.455	0.805	0.769
2890	ENSG00000204271.12	0.401	0.445	0.151	0	0	0.03
2896	ENSG00000204271.12	0.396	0.44	0.149	0	0	0.03
2571	ENSG00000158850.14	0.232	0.23	0.235	0.529	0.629	0.415
4213	ENSG00000111801.15	1	1	0.635	0.17	0.162	0.102
3457	ENSG00000139613.11	0.781	0.846	0.931	0.425	0.339	0.503
4978	ENSG00000175061.17	0	0	0	0.493	0.593	0.267
3321	ENSG00000241837.6	1	1	0.745	0.437	0.487	0.554
5995	ENSG00000170919.15	1	1	1	0.921	0.831	0.889
1853	ENSG00000197555.9	0.131	0.08	0.07	0.231	0.303	0.341
3731	ENSG00000213676.10	0.147	0.213	0.165	0.015	0	0.107
8173	ENSG00000112531.16	0.976	0.924	0.941	0.775	0.783	0.902
4711	ENSG00000169045.17	0.521	0.425	0.511	0.368	0.333	0.332
6323	ENSG00000170485.16	0.684	0.89	0.814	0.94	1	1
1800	ENSG00000196975.15	0.889	0.804	0.797	1	1	1
1358	ENSG00000156170.12	0.032	0.176	0.157	0.428	0.428	0.49
3108	ENSG00000067365.14	0.375	0.362	0.246	0	0.135	0
2625	ENSG00000103426.12	0.164	0.358	0.183	0.598	0.691	0.736
7708	ENSG00000217930.7	0.593	0.613	0.787	1	1	1
7986	ENSG00000114859.15	0	0	0.155	0.529	0.692	0.599
2703	ENSG00000118058.20	0.795	0.763	0.782	1	1	0.943
341	ENSG00000113971.19	0.097	0.166	0.238	0.025	0.072	0.038
2235	ENSG00000137842.6	1	1	0.949	0.796	0.823	0.888
1388	ENSG00000205352.10	0.578	0.758	0.773	0.844	0.971	0.951
2311	ENSG00000275066.4	1	1	1	0.708	0.564	0.795
6876	ENSG00000175575.12	1	1	1	0.598	0.694	0.664
2608	ENSG00000168564.5	0.848	0.8	0.785	0.555	0.539	0.599
2216	ENSG00000139651.10	1	1	0.87	0.564	0.691	0.701
6455	ENSG00000113240.12	1	1	1	0.878	0.715	0.501
1004	ENSG00000118418.14	0.364	0.407	0.469	0.618	0.525	0.556
3399	ENSG00000038532.14	0.36	0.213	0.321	0.867	0.662	0.783
5927	ENSG00000107551.20	0.892	1	0.913	0.216	0.383	0.734
5360	ENSG00000059145.18	0.347	0.145	0.145	0	0	0
1900	ENSG00000255152.8	0.768	0.817	0.825	1	0.949	0.915
5414	ENSG00000136098.16	0.051	0.037	0.016	1	1	0.062
2398	ENSG00000135678.11	0.56	0.22	0.629	0.718	1	0.987
2894	ENSG00000106052.13	0.214	0.279	0.181	0.066	0.099	0.199
359	ENSG00000166352.15	1	0.939	1	0.701	0.716	0.843
2129	ENSG00000198000.11	0.163	0.038	0.182	0.566	0.559	0.55
6789	ENSG00000148343.18	0.385	0.082	0.334	0	0.107	0
52	ENSG00000139436.20	0.777	0.53	0.383	0.168	0.201	0.175
933	ENSG00000137404.14	0.17	0.141	0.13	0.711	1	0.711
4112	ENSG00000049656.13	0.743	0.671	0.684	1	1	0.906
4569	ENSG00000040933.15	1	0.814	0.697	0.049	0.019	0.734
3273	ENSG00000125454.11	0.785	0.923	0.61	1	1	1
4886	ENSG00000067141.16	0.049	0.016	0.055	0.291	0.419	0.055
1612	ENSG00000134748.12	0.726	0.712	0.758	0.901	0.919	0.901
456	ENSG00000254996.5	0.844	0.859	0.862	0.638	0.682	0.716
2422	ENSG00000215021.8	0.656	0.241	0.792	1	1	1
7755	ENSG00000137804.12	0.786	0.731	0.74	0.565	0.655	0.668
4460	ENSG00000070423.17	0.631	0.624	0.486	1	1	0.847
1219	ENSG00000187239.16	0.473	0.188	0.18	0.702	0.68	0.8
3991	ENSG00000182389.19	0.55	0.491	0.317	0.738	1	1
2968	ENSG00000198563.13	0.597	0.643	0.549	0.669	0.736	0.753
7941	ENSG00000108349.16	0.229	0.228	0.217	0.083	0.14	0.102
1844	ENSG00000137449.15	0	0	0	0.234	0	0.305
7144	ENSG00000185753.12	0.061	0.046	0.092	0.258	0.197	0.308
5114	ENSG00000137106.17	0.869	0.843	0.853	0.496	0.61	0.746
4014	ENSG00000110881.11	1	0	0	1	1	0.783
4870	ENSG00000100744.14	1	0.939	1	0.381	0.53	1
3682	ENSG00000100209.9	1	1	1	0.768	0.909	0.951
2604	ENSG00000278259.4	0.051	0.068	0.038	0.386	0.221	0.131
3627	ENSG00000115392.11	0	0.117	0.108	0.271	0.274	0.284
5997	ENSG00000170919.15	1	1	1	0.704	0.636	1
1221	ENSG00000187239.16	0.828	0.728	0.6	0.98	0.96	1
3050	ENSG00000078487.17	0.852	1	1	0.389	0.793	0.242
969	ENSG00000102901.12	0.822	0.892	0.888	1	1	1
4113	ENSG00000087053.18	0.203	0.197	0.417	0	0	0.071
3992	ENSG00000182389.19	0.828	0.472	0.355	1	0.788	1
1634	ENSG00000051180.16	0.835	0.823	0.753	1	0.887	1
5689	ENSG00000122390.17	0	0	0.291	0.506	0.17	0.183
728	ENSG00000105939.12	0.3	0.341	0.294	0.079	0.177	0.119
2401	ENSG00000147535.16	0.423	0.28	0.268	0.069	0.098	0.073
2628	ENSG00000096093.15	0.386	0.419	0.441	0.171	0.177	0.177
3913	ENSG00000139350.11	0.841	0.711	0.834	1	0.945	0.915
1978	ENSG00000153094.22	1	1	1	0.778	0.845	0.915
5211	ENSG00000170004.16	0.378	0.507	0	0	0	0
1674	ENSG00000172269.18	0.824	0.786	0.667	1	1	1
1354	ENSG00000173846.12	0.665	0.514	0.543	1	1	1
3790	ENSG00000129292.20	1	0.573	0.229	0	0.113	0
2452	ENSG00000165233.17	0.375	0.287	0.39	0.615	0.661	0.515
1042	ENSG00000077232.17	0.309	0.263	0.202	0.103	0.192	0.166
4542	ENSG00000108395.13	0.096	0.054	0.038	0.2	0.177	0.154
4519	ENSG00000115446.11	0.291	0.186	0.186	0.088	0.16	0.035
832	ENSG00000168010.10	0.891	0.86	0.837	1	1	1
5371	ENSG00000171298.12	0.148	0.156	0.346	0	0	0
4362	ENSG00000168487.17	0.674	0.512	0.468	0.167	0.147	0.378
2743	ENSG00000214087.8	1	0.67	1	0.637	0.612	0.549
39	ENSG00000182796.13	1	1	0.801	0.492	0.708	0.446
412	ENSG00000133030.20	0.587	0.358	0.432	0.209	0.248	0.195
1984	ENSG00000229956.10	1	0.407	0	1	1	1
4979	ENSG00000129810.14	0.556	0.633	0.622	0.765	0.788	0.784
7286	ENSG00000175470.18	0.753	0.812	0.819	0.902	0.891	0.96
5773	ENSG00000166801.15	0.905	0.867	0.768	0.547	0.587	0.425
472	ENSG00000167840.13	0.711	0.848	0.744	0.901	0.969	0.957
8351	ENSG00000157693.14	0.088	0.031	0.092	0.331	0.459	0.718
8434	ENSG00000088448.14	1	1	1	0.798	0.793	0.976
447	ENSG00000165219.21	0.843	0.908	1	0.644	0.696	0.801
1345	ENSG00000149091.15	0	0	0.28	0.519	0.538	0.493
561	ENSG00000050130.17	1	1	1	0.903	0.862	0.899
5689	ENSG00000114107.8	0.572	0.505	0.559	0.132	0.037	0.38
7619	ENSG00000185880.12	0	0	0	0.316	0.367	0
7754	ENSG00000137804.12	0.616	0.548	0.546	0.32	0.458	0.446
7995	ENSG00000140320.11	0.191	0.218	0.256	0.491	0.437	0.492
2599	ENSG00000139636.15	1	1	1	0.771	0.666	1
4083	ENSG00000174227.15	0.962	1	1	0.897	0.855	0.863
5428	ENSG00000010361.13	1	1	1	0.776	0.859	0.724
3289	ENSG00000107104.18	1	1	1	0.762	0.878	0.852
5072	ENSG00000106028.10	1	1	1	0.524	1	0.485
7679	ENSG00000133393.12	0.369	0.342	0.319	1	0.701	1
3667	ENSG00000117713.18	0.331	0.357	0.334	0.579	0.518	0.539
876	ENSG00000124357.12	0.09	0.076	0.067	0.089	0.279	0.217
3787	ENSG00000206149.10	0.683	1	0.729	0.264	0.183	0.557
3274	ENSG00000125454.11	0.111	0.074	0.31	0	0	0
3967	ENSG00000080815.18	0.663	0.661	0.735	0.361	0.534	0.391
4210	ENSG00000075856.11	0.15	0.298	0.252	0.067	0.083	0.124
8096	ENSG00000188566.13	0.188	0.149	0.116	0.026	0	0
2427	ENSG00000102078.15	0.733	0.314	0.38	1	0.786	1
3396	ENSG00000127980.15	0.95	1	1	0.773	0.947	0.917
4723	ENSG00000084764.10	0.823	0.911	0.86	0.689	0.7	0.691
863	ENSG00000156650.12	0.294	0.572	0.262	0.861	0.84	0.613
2658	ENSG00000132950.18	1	1	1	0.801	0.787	0.763
7975	ENSG00000178026.12	0.199	0.256	0.274	0.495	0.681	0.736
5624	ENSG00000145819.15	1	0.773	1	0.393	0.629	1
5045	ENSG00000269893.6	0.205	0.128	0.174	0.244	0.369	0.235
4156	ENSG00000109686.17	0	0.053	0	0.127	0.212	0.095
2583	ENSG00000169379.15	0.566	0.465	0.41	0	0.465	0
4503	ENSG00000088038.17	0.282	0.167	0.085	0	0.059	0.071
12	ENSG00000068650.18	0.71	1	1	0.479	0.38	0.682
1855	ENSG00000165801.9	0.634	0.506	0.585	0.933	0.968	0.727
6718	ENSG00000169242.11	0.685	0.765	0.601	0.821	1	0.892
2394	ENSG00000204536.13	0.027	0.106	0	0.16	0.22	0.356
400	ENSG00000163939.18	1	1	1	0.829	0.66	0.89
5574	ENSG00000177728.16	0.716	0.65	0.732	1	0.925	0.831
413	ENSG00000100038.19	0	0.124	0.221	0.275	1	0.39
4433	ENSG00000042445.13	0.085	0.088	0.086	0.146	0.207	0.272
8705	ENSG00000258388.7	0.755	1	0.838	1	1	1
7587	ENSG00000185024.16	0.301	0.256	0.07	0	0.032	0.041
3687	ENSG00000172748.13	0	0	0	0.186	0.085	0.246
1491	ENSG00000136261.14	0.147	0.07	0.15	0.335	0.223	0.214
5831	ENSG00000090372.14	0.313	0.388	0.452	0.169	0.216	0.237
2748	ENSG00000083799.17	0.142	0.24	0.108	0	0	0.044
3299	ENSG00000157800.17	0.19	0.131	0.198	0.076	0.043	0.043
5684	ENSG00000076864.19	1	0.563	1	0.315	0.721	0.563
4609	ENSG00000162910.18	0.831	0.848	0.738	0.888	0.98	0.926
3308	ENSG00000125459.14	0.507	0.462	0.353	0.186	0.179	0
909	ENSG00000161010.14	0.197	0.21	0.267	0.091	0.041	0.169
7014	ENSG00000055609.17	1	1	1	0.846	0.942	0.899
344	ENSG00000034053.14	0.957	1	0.884	0.789	0.792	0.882
463	ENSG00000163138.18	0.792	0.734	0.748	1	1	1
1517	ENSG00000151092.16	0.463	0.581	0.734	0.798	1	0.881
5129	ENSG00000180376.16	0.609	0.627	0.601	0.851	0.89	0.74
5244	ENSG00000183963.18	0.23	0.255	0.136	0	0	0.173
2406	ENSG00000179818.13	1	1	1	0.963	1	0.622
73	ENSG00000127564.16	0.434	0.352	0.406	0.676	0.904	0.707
5683	ENSG00000076864.19	1	0.708	1	0.58	0.858	0.801
2675	ENSG00000065029.14	0.15	0.246	0.108	0.031	0.036	0.024
2732	ENSG00000089159.16	0.766	1	0.87	1	1	1
288	ENSG00000123473.15	1	1	1	0	0.68	0.362
1656	ENSG00000100445.17	0.415	0.45	0.352	0.196	0.191	0.271
2586	ENSG00000128928.8	0.229	0.223	0.159	0.069	0.112	0.073
387	ENSG00000117308.14	1	1	0.963	0.86	0.941	0.776
1401	ENSG00000125676.19	0.877	0.89	0.86	0.732	0.74	0.816
5549	ENSG00000130429.12	0.616	0.737	0.83	0.812	1	1
555	ENSG00000111445.13	0.484	0.48	0.689	0.715	0.916	0.874
4644	ENSG00000065717.14	0.629	0	0.493	1	0.493	1
3423	ENSG00000126214.21	0.498	0.603	0.765	0.906	0.778	0.848
873	ENSG00000064012.21	0.861	0.853	0.905	1	1	1
8784	ENSG00000187742.14	0.842	0.75	0.808	0.563	0.71	0.653
4670	ENSG00000149532.15	0.801	0.788	0.793	0.947	1	0.888
8693	ENSG00000174233.11	0.527	0.627	0.831	0.926	0.916	1
2916	ENSG00000109685.17	0.182	0.151	0.149	0.297	0.246	0.259
7081	ENSG00000105982.16	0.271	1	0.573	1	1	1
5571	ENSG00000183597.15	0	0.056	0	0.239	0.239	0.586
4010	ENSG00000168137.15	0.448	0.476	0.422	0.192	0.286	0.326
2152	ENSG00000144061.12	0	0	1	0.493	1	1
910	ENSG00000161010.14	1	0.727	0.669	0.092	0.211	0.555
1705	ENSG00000126456.15	0.454	0.422	0.461	0.206	0.349	0.208
388	ENSG00000197381.15	0.791	0.816	0.621	1	1	0.863
2971	ENSG00000102100.15	0.432	0.605	0.547	0.748	0.862	0.777
3513	ENSG00000197948.10	0.871	0.933	0.856	1	1	1
7075	ENSG00000149532.15	1	1	0.66	0.393	0.872	0.493
2167	ENSG00000185803.8	0.818	0.725	0.654	0.85	1	1
681	ENSG00000000460.16	0.946	0.976	0.918	0.745	0.711	0.873
5774	ENSG00000166801.15	0.932	0.899	0.822	0.652	0.721	0.636
5165	ENSG00000147996.16	0.673	0.313	0.533	0.146	0	0.079
6791	ENSG00000148343.18	0.292	0.076	0.346	0	0.128	0.045
5723	ENSG00000205133.11	0.632	0.697	0.66	0.815	0.81	0.929
7745	ENSG00000151150.21	1	1	1	0.89	0.631	0.988
3179	ENSG00000178028.13	0.068	0.174	0.14	0.428	0.287	0.407
3292	ENSG00000141756.18	0.424	0.305	0.28	0.085	0.174	0.341
2405	ENSG00000179818.13	1	1	1	0.842	1	0.274
1466	ENSG00000150776.17	0.839	1	1	0.651	0.713	0.771
1234	ENSG00000096746.17	0.699	0.666	0.639	0.8	0.874	0.671
6834	ENSG00000164066.12	0.682	0.654	0.66	0.606	1	1
2287	ENSG00000145349.16	0.979	1	0.959	0.934	0.972	0.384
4259	ENSG00000123219.12	0.768	0.897	0.812	0.945	0.933	0.907
2417	ENSG00000179818.13	0	0	0.15	0.56	0.212	0.276
4133	ENSG00000146067.15	1	0.658	0.658	0.194	0.391	0.627
2773	ENSG00000197062.11	1	0.872	1	1	0.618	0.795
3986	ENSG00000068796.16	0.836	0.811	0.811	0.587	0.721	0.659
252	ENSG00000162923.14	0.674	0.653	0.567	0.41	0.435	0.552
2175	ENSG00000133460.19	0.424	0	0.269	0.595	1	0.869
274	ENSG00000161265.14	0.493	0.423	0.413	0.678	0.702	1
684	ENSG00000172183.14	0.514	1	0.473	0.371	1	1
349	ENSG00000155508.13	0.045	0.066	0.09	0.253	0.129	0.253
4111	ENSG00000122952.16	0.505	0.676	0.774	0.769	0.806	0.933
3322	ENSG00000117543.20	0.887	0.951	0.951	0.47	0.728	0.916
5269	ENSG00000141503.15	0.336	0.655	0.371	1	0.744	0.802
1134	ENSG00000116809.11	0.055	0.093	0.163	0	0	0
2096	ENSG00000157881.13	0.884	0.719	0.902	0.691	0.46	0.395
8292	ENSG00000137274.12	0.336	0.32	0.401	0.176	0.249	0.197
835	ENSG00000168010.10	0.86	0.649	1	0.413	0.216	0.687
5318	ENSG00000173559.12	0.283	0.329	0.331	0.697	0.615	0.594
8470	ENSG00000135905.18	1	0.441	1	0.576	0.516	0.787
754	ENSG00000257621.7	0.757	0.862	1	0.571	0.63	0.727
1693	ENSG00000137500.9	1	1	1	0.695	0.944	1
178	ENSG00000273000.5	0.189	1	0.621	1	0.483	1
7883	ENSG00000170004.16	0.736	0.716	0.615	0.27	0.425	0.551
4697	ENSG00000239445.5	1	1	0.741	0.792	0.656	0.488
1391	ENSG00000205352.10	0.526	0.69	0.719	0.759	0.942	0.912
511	ENSG00000055147.18	0.86	0.852	0.86	1	1	0.891
851	ENSG00000046651.14	0.721	0.881	0.797	0.453	0.653	0.403
2817	ENSG00000055950.16	0.729	1	0.782	1	1	1
4465	ENSG00000145730.20	0.443	0.428	0.407	0.31	0.274	0.346
986	ENSG00000124782.19	0.104	0	0	0.173	0.173	0.167
1005	ENSG00000137221.14	0.284	0.351	0.168	0.068	0.19	0.072
6808	ENSG00000076928.17	0.737	0.85	0.798	0.85	1	1
834	ENSG00000168010.10	0.672	0.185	1	0.185	0	0.313
5836	ENSG00000130813.17	0.882	0.49	0.743	1	0.852	1
3955	ENSG00000105325.13	0.052	0.054	0.021	0.093	0.204	0.147
4318	ENSG00000003509.15	0.966	1	0.949	0.711	0.951	0.906
155	ENSG00000171634.16	0.131	0.115	0.24	0.259	0.217	0.339
1452	ENSG00000115282.19	0.664	0.678	0.806	0.345	0.283	0.513
981	ENSG00000140386.12	0.145	0.026	0.12	0.326	0.175	0.514
6875	ENSG00000175575.12	1	0.655	1	0.673	0.608	1
714	ENSG00000008128.22	0.302	0.214	0.122	0.117	0.076	0.102
4177	ENSG00000187607.15	0.296	0.211	0.376	0.824	0.852	0.401
600	ENSG00000075413.17	0.82	0.787	0.849	0.649	0.625	0.773
1336	ENSG00000109065.11	0.151	0.237	0.278	0.456	0.419	0.361
1220	ENSG00000187239.16	0.844	0.844	0.754	0.975	0.949	1
1847	ENSG00000185875.12	0.246	0.244	0.446	0.163	0.092	0.048
3208	ENSG00000178999.12	0.152	0.167	0.13	0.293	0.437	0.747
1039	ENSG00000077232.17	0.831	0.77	0.753	0.404	0.6	0.644
7690	ENSG00000126768.12	0.981	0.923	0.955	0.793	0.786	0.918
2991	ENSG00000102878.16	0.509	0.625	0.56	0.114	0.391	0.265
2119	ENSG00000136247.14	0.326	0.36	0.258	0.103	0.061	0.343
3191	ENSG00000136828.18	0.846	0.958	0.87	1	1	1
398	ENSG00000163939.18	0.967	0.963	0.909	0.807	0.828	0.886
1510	ENSG00000106603.18	0.298	0.272	0.343	0.496	0.516	0.488
5572	ENSG00000183597.15	0	0	0	0.619	0.351	1
3727	ENSG00000168894.9	1	1	1	0.388	1	0.747
303	ENSG00000130714.15	0.561	0.354	0.426	0.202	0.171	0.27
63	ENSG00000127616.17	0.481	0.558	0.523	0.685	0.623	0.656
4938	ENSG00000156232.7	0.358	0.235	0.076	0	0.12	0.059
4409	ENSG00000173402.11	1	1	1	0.717	0	0.588
4758	ENSG00000092096.16	0.073	0	0.103	0.173	0.12	0.33
1897	ENSG00000164967.9	0.2	0.184	0.461	0.063	0.082	0.151
1970	ENSG00000104756.15	0.467	0.38	0.218	0	0.133	0.231
232	ENSG00000153944.10	0.302	0.619	0.493	1	0.7	0.83
2533	ENSG00000101104.12	0.202	0.126	0.043	0	0	0
2756	ENSG00000173193.13	0.029	0.042	0.046	0.089	0.051	0.349
7323	ENSG00000185485.14	0.244	0.156	0.233	0.033	0.022	0.15
8641	ENSG00000086848.14	0.508	0.439	0.42	0.178	0.298	0.292
5494	ENSG00000178921.13	0.33	0.474	0.333	0.221	0.153	0.159
4039	ENSG00000131061.13	0.623	0.292	0.452	0.142	0.452	0
4557	ENSG00000074582.12	0.444	0.469	0.596	0.925	1	0.597
822	ENSG00000187741.14	0.161	0	0.142	0.268	0.464	0.296
4946	ENSG00000155906.16	0.117	0.275	0.256	0.085	0.04	0.083
3294	ENSG00000204852.15	1	0.465	1	0.537	0.271	0.289
3093	ENSG00000206195.10	0.89	0.924	0.939	0.838	0.721	0.787
4361	ENSG00000168487.17	0.267	0.267	0	0	0.051	0.127
145	ENSG00000181929.11	0.115	0.273	0.166	0.381	0.573	0.77
3465	ENSG00000160298.17	0.681	1	0.65	0.298	0.237	0.213
8020	ENSG00000119801.12	0.241	0.096	0.497	0	1	1
999	ENSG00000162613.16	0.488	1	1	0.861	0.526	0.741
11	ENSG00000274602.4	0	0	0	0.288	0.109	0.092
8011	ENSG00000145734.18	0.817	0.953	0.892	1	1	1
