ID	GeneID	MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
71062	ENSG00000138778.11	0.987	0.984	0.938	0.843	0.891	0.871
3602	ENSG00000038427.15	1	1	1	0.409	0.219	0.958
56633	ENSG00000182389.19	0.036	0	0.114	0.806	0.2	0.769
20183	ENSG00000137842.6	0.514	0.809	0.874	0.97	1	0.96
58546	ENSG00000125503.12	0.71	0.905	0.899	1	1	1
58636	ENSG00000127452.8	0.874	1	1	0.455	0.41	0.41
75237	ENSG00000137807.13	0.864	0.796	0.714	0.419	0.647	0.534
52774	ENSG00000100031.18	0.672	1	1	0	1	0.128
79157	ENSG00000095794.19	1	1	0.924	0.515	0.638	1
48075	ENSG00000213988.10	1	1	1	0.738	0.903	0.894
50220	ENSG00000031003.10	0.469	0.429	0.554	0.811	0.789	0.87
33591	ENSG00000178053.17	0	0	0	0.05	0.325	0.104
30263	ENSG00000214063.10	0.735	0.769	0.677	1	0.899	1
71645	ENSG00000184162.14	0.96	0.93	0.926	0.688	0.821	0.809
6693	ENSG00000080298.15	0.646	0.851	0.632	1	1	0.935
2196	ENSG00000136861.17	0.425	0.723	0.905	0.943	0.986	0.938
63151	ENSG00000155542.11	1	1	1	0.608	0.598	0.706
18408	ENSG00000264538.6	1	1	0.918	0.671	0.578	0.935
21880	ENSG00000067177.14	0.911	0.946	0.956	0.49	0.805	0.762
9022	ENSG00000105290.11	0.63	0.623	0.651	0.927	0.903	0.834
60726	ENSG00000256594.7	0.622	0.846	0.573	0.076	0.121	0.373
660	ENSG00000198625.12	0.056	0.042	0.078	0.623	0.856	0.179
77449	ENSG00000106086.18	0.68	0.321	0.665	1	0.856	1
56641	ENSG00000064545.14	0.632	0	0.563	1	1	1
39919	ENSG00000198885.9	0.887	1	1	0.39	0.816	0.33
6804	ENSG00000257621.7	0.365	0.413	0.254	0.098	0.181	0.15
18490	ENSG00000133138.19	0.616	0.812	0.758	1	1	1
7577	ENSG00000161091.12	0.458	0.518	0.72	1	0.903	0.811
32357	ENSG00000270231.3	1	1	1	0.634	0.162	0.859
657	ENSG00000198625.12	0	0.017	0.049	0.39	0.798	0.088
31397	ENSG00000138756.17	0.94	0.949	0.778	0.416	0.387	0.638
72368	ENSG00000111247.14	0.159	0	0	0.665	0.249	0.249
71344	ENSG00000114062.18	0.389	0.302	0.246	0.039	0.152	0.095
30830	ENSG00000166169.16	1	1	0.952	0.772	0.62	1
33280	ENSG00000074054.17	0.426	0.342	0.474	0.104	0.084	0.154
33605	ENSG00000108469.14	0.031	0	0	0.185	0.023	0.398
30828	ENSG00000166169.16	1	0.932	0.911	0.388	0.432	0.889
67457	ENSG00000139531.12	0.823	0.852	0.556	0.018	0.282	0.338
23933	ENSG00000155366.16	0.18	0.225	0.25	0.444	0.354	0.614
59134	ENSG00000100578.14	0.382	0.393	0.498	0	0.04	0.153
36635	ENSG00000125944.18	0.476	0.541	0.555	0.381	0.381	0.434
28183	ENSG00000188647.12	0.965	0.986	0.966	0.832	0.908	0.81
74017	ENSG00000002919.14	0	0	0	0.172	0.055	0.14
53579	ENSG00000173041.11	0.605	0.897	1	0.489	0.424	0.457
69865	ENSG00000166839.16	1	1	1	0.505	0.505	1
36968	ENSG00000104529.17	0.547	0.595	0.595	1	1	0.776
