gene1	gene2	coefficient	p.value
CCNT2	THOC6	-1	0
CCNT2	SRPK2	1	0
CCNT2	DHX38	-1	0
CCNT2	POLR2D	1	0
CCNT2	SCAF4	-1	0
CCNT2	ZNF326	1	0
CCNT2	SLU7	1	0
CCNT2	SNRNP35	1	0
CCNT2	RBM11	1	0
CCNT2	SMN2	1	0
FUS	FUS	1	0
FUS	RBM23	1	0
FUS	PPARGC1A	-1	0
FUS	CLK4	-1	0
FUS	PTBP3	1	0
FUS	NOVA1	1	0
FUS	DUSP11	1	0
FUS	SAP18	-1	0
FUS	SRSF12	0.866025403784439	0.333333333333333
POLDIP3	POLDIP3	1	0
POLDIP3	LSM5	-1	0
POLDIP3	QKI	-1	0
POLDIP3	SF3B6	-1	0
POLDIP3	TIA1	-1	0
POLDIP3	SFPQ	-1	0
POLDIP3	PTBP2	-1	0
POLDIP3	TRMT1L	-1	0
POLDIP3	HNRNPA2B1	-1	0
POLDIP3	THOC6	1	0
POLDIP3	SRPK2	-1	0
POLDIP3	DHX38	1	0
POLDIP3	POLR2D	-1	0
POLDIP3	SCAF4	1	0
POLDIP3	ZNF326	-1	0
POLDIP3	SLU7	-1	0
POLDIP3	SNRNP35	-1	0
POLDIP3	RBM11	-1	0
POLDIP3	SMN2	-1	0
RBM23	RBM23	1	0
RBM23	PPARGC1A	-1	0
RBM23	CLK4	-1	0
RBM23	PTBP3	1	0
RBM23	NOVA1	1	0
RBM23	DUSP11	1	0
RBM23	SAP18	-1	0
RBM23	SRSF12	0.866025403784439	0.333333333333333
POP4	POP4	1	0
POP4	SRSF6	-1	0
POP4	RBMS3	-1	0
POP4	SRSF12	0.866025403784439	0.333333333333333
POP4	RBPMS	-1	0
POP4	SON	-1	0
POP4	U2AF1	1	0
POP4	RP9	-1	0
POP4	UPF3A	1	0
POP4	ERN1	1	0
LSM5	LSM5	1	0
LSM5	QKI	1	0
LSM5	SF3B6	1	0
LSM5	TIA1	1	0
LSM5	SFPQ	1	0
LSM5	PTBP2	1	0
LSM5	TRMT1L	1	0
LSM5	HNRNPA2B1	1	0
LSM5	THOC6	-1	0
LSM5	SRPK2	1	0
LSM5	DHX38	-1	0
LSM5	POLR2D	1	0
LSM5	SCAF4	-1	0
LSM5	ZNF326	1	0
LSM5	SLU7	1	0
LSM5	SNRNP35	1	0
LSM5	RBM11	1	0
LSM5	SMN2	1	0
PPARGC1A	PPARGC1A	1	0
PPARGC1A	CLK4	1	0
PPARGC1A	PTBP3	-1	0
PPARGC1A	NOVA1	-1	0
PPARGC1A	DUSP11	-1	0
PPARGC1A	SAP18	1	0
PPARGC1A	SRSF12	-0.866025403784439	0.333333333333333
QKI	QKI	1	0
QKI	SF3B6	1	0
QKI	TIA1	1	0
QKI	SFPQ	1	0
QKI	PTBP2	1	0
QKI	TRMT1L	1	0
